Context;selfish;generous;tradition;rewardLBonly;rewardLDonly;rewardRSonly;rewardLB_LD;rewardLB_RS;rewardLD_RS;rewardALL
ALLEQL;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05
LBLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9
LBMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05
LDLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9
LDMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05
RSLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9
RSMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05
LBLES_LDLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9
LBLES_LDMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05
LBMOR_LDLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05
LBMOR_LDMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05
LBLES_RSLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9
LBLES_RSMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05
LBMOR_RSLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05
LBMOR_RSMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05
LDLES_RSLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9
LDLES_RSMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05
LDMOR_RSLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05
LDMOR_RSMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05
LBLES_LDLES_RSLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9
LBLES_LDLES_RSMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05
LBLES_LDMOR_RSLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05
LBLES_LDMOR_RSMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05
LBMOR_LDLES_RSLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05
LBMOR_LDLES_RSMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05
LBMOR_LDMOR_RSLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05
LBMOR_LDMOR_RSMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05
NDLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9
NDMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05
LBLES_NDLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9
LBLES_LDLES_NDLES;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9;0.05,0.05,0.9
LBLES_LDMOR_NDLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.9,0.05
LBLES_LDMOR_RSLES_NDLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05
LBMOR_NDMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05
LBMOR_LDLES_NDLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05
LBMOR_LDLES_NDMOR;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05
LBMOR_LDMOR_NDLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05
LBMOR_LDMOR_NDMOR;0.9,0.05,0.05;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05;0.9,0.05,0.05
LDMOR_NDLES;0.9,0.05,0.05;0.05,0.05,0.9;0.05,0.9,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05;0.9,0.05,0.05;0.05,0.9,0.05
